category,company,region,positioning,evidence_tier,official_entry,screening_note
materials_chemistry,XtalPi,China/Hong Kong,AI+physics+robotics R&D platform,Tier 1,https://ir.xtalpi.com/en/,Listed company and project-level disclosures
materials_chemistry,DP Technology,China,AI for Science tools and services,Tier 1,https://www.dp.tech/en,Science-as-a-Service competitor
materials_chemistry,Citrine Informatics,United States,Materials informatics SaaS,Tier 1,https://citrine.io/,Customer case claims need project-level validation
materials_chemistry,CuspAI,United Kingdom,Generative materials design,Tier 2,https://cusp.ai/,Verify customer deployments and feedback loop
materials_chemistry,Periodic Labs,United States,AI-driven science and automated labs,Tier 2,https://periodic.com/,Verify commercial model and lab ownership
materials_chemistry,Orbital Materials,United Kingdom,AI-enabled materials discovery,Tier 2,https://www.orbitalmaterials.com/,Verify target material and paid projects
materials_chemistry,Kebotix,United States,Materials discovery platform,Tier 2,https://www.kebotix.com/,Verify current product and customers
materials_chemistry,MaterialsZone,Israel,Materials informatics platform,Tier 2,https://materials.zone/,Verify integration and revenue model
materials_chemistry,Aionics,United States,Battery materials and electrolyte optimization,Tier 2,https://www.aionics.io/,Close analog for battery design partner thesis
materials_chemistry,Atinary,Switzerland,Self-driving lab software,Tier 2,https://www.atinary.com/,Verify automation integrations and customer case
materials_chemistry,Polaron,United Kingdom,AI for advanced materials,Tier 2,https://www.polaron.ai/,Verify vertical focus and commercial traction
materials_chemistry,NobleAI,United States,Materials and chemicals AI,Tier 2,https://www.noble.ai/,Verify enterprise deployments
molecular_biology,Generate Biomedicines,United States,Generative protein therapeutics,Tier 2,https://generatebiomedicines.com/,Verify partnership economics and clinical pipeline
molecular_biology,Cradle,Netherlands/Switzerland,AI protein engineering,Tier 1,https://www.cradle.bio/,Funding verified and product claims require task-level review
molecular_biology,Profluent,United States,AI protein design,Tier 2,https://www.profluent.bio/,Verify data loop and commercialization
molecular_biology,EvolutionaryScale,United States,Biological foundation models,Tier 2,https://www.evolutionaryscale.ai/,Foundation model provider not direct experiment-decision analog
molecular_biology,Basecamp Research,United States,Biodiversity data and protein discovery,Tier 2,https://www.basecamp-research.com/,Verify paid customers and wet-lab strategy
molecular_biology,Arzeda,United States,Computational protein design,Tier 2,https://arzeda.com/,Verify project economics
molecular_biology,Absci,United States,AI biologics discovery,Tier 2,https://www.absci.com/,Public company and partnership diligence needed
molecular_biology,Ginkgo Bioworks,United States,Cell programming platform,Tier 2,https://www.ginkgobioworks.com/,Public company but not direct Agent competitor
molecular_biology,Enveda Biosciences,United States,AI and natural-product drug discovery,Tier 2,https://www.envedabio.com/,Verify validation and partner model
molecular_biology,1910 Genetics,United States,Multimodal AI drug discovery,Tier 2,https://www.1910genetics.com/,Verify pipeline ownership and services mix
